JIS Q 27001:2006 におけるISMSの確立に必要な事項①～③の順序関係のうち，適切なものはどれか。     1.適用宣言書の作成     2.リスク対応のための管理目的及び管理策の選択     3.リスクの分析と評価,4,①→②→③,①→③→②,②→③→①,③→②→①,平成22年春期 午前問80
労働者派遣法に基づいた労働者の派遣において，労働者派遣契約の関係が存在するのはどの当事者の間か。,3,派遣先事業主と派遣労働者,派遣先責任者と派遣労働者,派遣元事業主と派遣先事業主,派遣元事業主と派遣労働者,平成22年春期 午前問79
A社は顧客管理システムの開発を，情報システム子会社であるB社に委託し，B社は要件定義を行った上で，設計・プログラミング・テストまでを協力会社であるC社に委託した。C社では優秀なD社員にその作業を担当させた。このとき，開発したプログラムの著作権はどこに帰属するか。ここで，関係者の間には，著作権の帰属に関する特段の取決めはないものとする。,3,A社,B社,C社,D社員,平成22年春期 午前問78
損益分岐点の特性を説明したものはどれか。,3,固定費が変わらないとき，変動費率が低くなると損益分岐点は高くなる。,固定費が変わらないとき，変動費率の変化と損益分岐点の変化は正比例する。,損益分岐点での売上高は，固定費と変動費の和に等しい。,変動費率が変わらないとき，固定費が小さくなると損益分岐点は高くなる。,平成22年春期 午前問77
昨年度と今年度の入社試験問題を比較するために，多数の社員に両年度の問題を解答させた。昨年度の問題の得点を ｘ 軸に，今年度の問題の得点を ｙ 軸にとって，相関係数と回帰直線を求めた。〔結果〕から分かることはどれか。     〔結果〕     相関係数は，0.8であった。     回帰直線の傾きは，1.1であった。     回帰直線のy切片の値は，10であった。,3,回帰直線の y切片の値から，今年度の問題の得点が0点の人でも，昨年度の問題では10点程度とれることが分かる。,回帰直線の傾きから，今年度の問題の平均点は，昨年度の問題の平均点の1.1倍であることが分かる。,回帰直線の傾きとy切片の値から，今年度の問題は昨年度の問題に比べて得点しやすい傾向にあることが分かる。,回帰直線の傾きと相関係数の値から，今年度の問題は質が高いことが分かる。,平成22年春期 午前問76
事業部制組織を説明したものはどれか。,3,ある問題を解決するために一定の期間に限って結成され，問題解決とともに解散する。,業務を機能別に分け，各機能について部下に命令，指導を行う。,製品，地域などで構成された組織単位に，利益責任をもたせる。,戦略的提携や共同開発など外部の経営資源を積極的に活用することによって，経営環境に対応していく。,平成22年春期 午前問75
RFIDを利用したものはどれか。,1,ICタグ,磁気カード,バーコード,メモリカード,平成22年春期 午前問74
①～③の手順に従って処理を行うものはどれか。     1.今後の一定期間に生産が予定されている製品の種類と数量および部品構成表を基にして、その構成部品についての必要量を計算する。     2.引当可能な在庫量から各構成部品の正味発注量を計算する。     3.製造/調達リードタイムを考慮して構成部品の発注時期を決定する。,4,CAD,CRP,JIT,MRP,平成22年春期 午前問73
アクセシビリティを説明したものはどれか。,2,携帯電話や自動車電話のように，利用者が移動しながら通信端末を利用することができる環境,高齢者や障害者でも容易に情報機器を活用でき，情報サービスを受けることができる環境,情報通信手段の活用によって，通勤時の時間的・精神的なロスのない勤務形態を実現できる環境,モバイルコンピューティング，ホームネットワークなどによって，コンピュータ利用の利便性を増した環境,平成22年春期 午前問72
ナレッジマネジメントを説明したものはどれか。,1,企業内に散在している知識を共有化し，全体の問題解決力を高める経営を行う。,迅速な意思決定のために，組織の階層をできるだけ少なくした平型の組織構造によって経営を行う。,優れた業績を上げている企業との比較分析から，自社の経営革新を行う。,他社にはまねのできない，企業独自のノウハウや技術などの強みを核とした経営を行う。,平成22年春期 午前問71
