A社がシステム開発を行うに当たり，外部業者B社を利用する場合の契約に関する記述のうち，適切なものはどれか。,2,委任契約ではB社に成果物の完成責任がないので，A社がB社の従業員に対して直接指揮命令権を行使する。,請負契約によるシステム開発では，特に契約に定めない限り，開発されたプログラムの著作権はB社に帰属する。,請負契約，派遣契約によらず，いずれの場合のシステム開発でも，B社にはシステムの完成責任がある。,派遣契約では，開発されたプログラムに重大な欠陥が発生した場合，B社に瑕疵(かし)担保責任がある。,平成22年秋期 午前問79
日本において，産業財産権と総称される四つの権利はどれか。,1,意匠権，実用新案権，商標権，特許権,意匠権，実用新案権，著作権，特許権,意匠権，商標権，著作権，特許権,実用新案権，商標権，著作権，特許権,平成22年秋期 午前問78
ヒストグラムを説明したものはどれか。,3,原因と結果の関連を魚の骨のような形態に整理して体系的にまとめ，結果に対してどのような原因が関連しているかを明確にする。,時系列的に発生するデータのばらつきを折れ線グラフで表し，管理限界線を利用して客観的に管理する。,収集したデータを幾つかの区間に分類し，各区間に属するデータの個数を棒グラフとして描き，ばらつきをとらえる。,データを幾つかの項目に分類し，出現頻度の大きさの順に棒グラフとして並べ，累積和を折れ線グラフで描き，問題点を絞り込む。,平成22年秋期 午前問76
プロジェクトを準独立的な事業として遂行し，その成果に対して全面的な責任を負う起業者としての権限と責任を与えられる組織構造はどれか。,2,事業部制組織,社内ベンチャ組織,職能別組織,マトリックス組織,平成22年秋期 午前問74
セル生産方式の特徴はどれか。,4,各工程が自立的に稼動し，前工程の生産したものを元に後工程の生産を行う。,作業指示と現場管理を見えるようにするために，かんばんを利用する。,必要とする部品，仕様，数量を後工程から前工程に伝達する。,部品の組立てから完成検査までの全工程を，1人又は数人で作業する。,平成22年秋期 午前問73
ディジタルディバイドを説明したものはどれか。,4,PCなどの情報通信機器の利用方法が分からなかったり，情報通信機器を所有していなかったりして，情報の入手が困難な人々のことである。,高齢者や障害者の情報通信の利用面での困難が，社会的・経済的格差につながらないように，だれもが情報通信を利活用できるように整備された環境のことである。,情報通信機器やソフトウェア，情報サービスなどを，高齢者・障害者を含むすべての人が利用可能であるか，利用しやすくなっているかの度合いのことである。,情報リテラシの有無やITの利用環境の相違などによって生じる，社会的又は経済的格差のことである。,平成22年秋期 午前問72
XBRLを説明したものはどれか。,4,インターネットのホームページにおける画像，音声，ビデオなどを含むページを表現できるページ記述言語である。,テキストや画像だけでなく，レイアウトやフォントの情報などもファイルに納めることができる文書表示用のフォーマットである。,当初は小型コンピュータ用に開発された，様々な帳票を簡単に作成することを主たる目的としたプログラム言語である。,文書情報やデータの構造を記述するためのマークアップ言語であるXMLを，財務情報の交換に応用したデータ記述言語である。,平成22年秋期 午前問71
サプライチェーンマネジメントを説明したものはどれか。,1,購買，生産，販売及び物流を結ぶ一連の業務を，企業間で全体最適の視点から見直し，納期短縮や在庫削減を図る。,個人がもっているノウハウや経験などの知的資産を共有して，創造的な仕事につなげていく。,社員のスキルや行動特性を管理し，人事戦略の視点から適切な人員配置・評価などを行う。,多様なチャネルを通じて集められた顧客情報を一元化し，活用することで，顧客との関係を密接にしていく。,平成22年秋期 午前問70
バランススコアカードの四つの視点とは，財務，学習と成長，内部ビジネスプロセスと，もう一つはどれか。,2,ガバナンス,顧客,自社の強み,遵法,平成22年秋期 午前問69
プロダクトライフサイクルにおける成長期の特徴はどれか。,1,市場が商品の価値を理解し始める。商品ラインもチャネルも拡大しなければならない。この時期は売上も伸びるが，投資も必要である。,需要が大きくなり，製品の差別化や市場の細分化が明確になってくる。競争者間の競争も激化し，新品種の追加やコストダウンが重要となる。,需要が減ってきて，撤退する企業も出てくる。この時期の強者になれるかどうかを判断し，代替市場への進出なども考える。,需要は部分的で，新規需要開拓が勝負である。特定ターゲットに対する信念に満ちた説得が必要である。,平成22年秋期 午前問68
競争上のポジションで，フォロワの基本戦略はどれか。,2,シェア追撃などのリーダ攻撃に必要な差別化戦略,市場チャンスに素早く対応する模倣戦略,製品，市場の専門特化を図る特定化戦略,全市場をカバーし，最大シェアを確保する全方位戦略,平成22年秋期 午前問67
システムインテグレータの説明として，適切なものはどれか。,2,自社の業務過程の一部を，より得意とする外部の企業に委託する。,情報システムの企画，構築，運用などの業務を一括して請け負う。,ソフトウェアの必要な機能だけを選択して購入できる。,ビジネス用のアプリケーションソフトウェアをインターネットでレンタルする。,平成22年秋期 午前問66
利害関係者要件の確認において，定義された要件に対して，発生した変更要求の実装までの経過を明らかにできることを表すものはどれか。,3,インターオペラビリティ,セキュリティ,トレーサビリティ,ユーザビリティ,平成22年秋期 午前問65
非機能要件の定義に該当するものはどれか。,2,業務を構成する機能間の情報(データ)の流れを明確にする。,システム開発で利用する言語に合わせた開発基準，標準を作成する。,システム機能として実現する範囲を定義する。,他システムとの情報授受などのインタフェースを明確にする。,平成22年秋期 午前問64
SOAを説明したものはどれか。,3,企業グループ全体の業務プロセスを統合的に管理し，経営資源を有効活用することによって，経営の効率向上を図る考え方のことである。,業務の流れを単位ごとに分析し整理することによって問題点を明確化し，効果的に，また効率よく仕事ができるように継続的に改善する管理手法である。,再利用可能なサービスとしてソフトウェアコンポーネントを構築し，そのサービスを活用することで高い生産性を実現するアーキテクチャである。,自社の業務の一部を，業務システムだけでなく業務そのものを含めて，企画から運用までを一括して外部企業に委託することである。,平成22年秋期 午前問63
"システム管理基準" によれば，情報化投資計画を策定する段階はどれか。,4,運用業務,開発業務,企画業務,情報戦略,平成22年秋期 午前問62
エンタープライズアーキテクチャにおいて，テクノロジアーキテクチャで作成する成果物はどれか。,4,機能構成図(DMM)，機能情報関連図(DFD),実体関連ダイアグラム(ERD)，データ定義表,情報システム関連図，情報システム機能構成図,ネットワーク構成図，ソフトウェア構成図,平成22年秋期 午前問61
ユーザ受入れテストの監査において，指摘事項に該当するものはどれか。,1,システム部門だけでテストを行い，テスト結果をその責任者が承認した。,当該業務に精通したユーザが参画してテストを行った。,ユーザ受入れテストの実施環境は本番環境と隔離させた。,ユーザ要求をすべてテスト対象としたテストケースを設定した。,平成22年秋期 午前問60
経営者が社内のシステム監査人の外観上の独立性を担保とするために講じる措置として，適切なものはどれか。,4,システム監査人にITに関する継続的学習を義務付ける。,システム監査人に必要な知識や経験を定め，公表する。,システム監査人の監査技法修得制度を設ける。,システム監査人の所属部署を経営者の直轄とする。,平成22年秋期 午前問59
システム監査におけるヒアリングを実施する際に，システム監査人の対処として，適切なものはどれか。,2,ヒアリングの結果，調査対象の現状に問題があると判断した場合は，その調査対象のあるべき姿について被監査部門の専門的な相談に応じる。,ヒアリングの結果，問題と思われる事項を発見した場合は，その裏付けとなる記録の入手や現場確認を行う。,ヒアリングを行っている際に，被監査部門との間で見解の相違が生じた場合は，相手が納得するまで十分に議論を行う。,被監査部門のヒアリング対象者が複数の場合は，職制上の上位者から集中的に話を聞く。,平成22年秋期 午前問58
ニューメリックチェックの説明として，適切なものはどれか。,2,一定の規則に従ってデータから検査文字を算出し，付加されている検査文字と比較することによって，入力データに誤りがないかどうかをチェックする。,数値として扱う必要のあるデータに，数値として扱えない文字のようなものが含まれていないかどうかをチェックする。,販売数と在庫数と仕入数の関係など，関連のある項目の値に矛盾がないかどうかをチェックする。,マスタファイル作成時の入力データ中に，キーの値が同じレコードが複数件含まれていないかどうかをチェックする。,平成22年秋期 午前問57
データベースのロールバック処理の説明はどれか。,4,更新後ジャーナルを用いて，トランザクション開始後の障害直前の状態にまでデータを復旧させる。,更新後ジャーナルを用いて，トランザクション開始直前の状態にまでデータを復旧させる。,更新前ジャーナルを用いて，トランザクション開始後の障害直前の状態にまでデータを復旧させる。,更新前ジャーナルを用いて，トランザクション開始直前の状態にまでデータを復旧させる。,平成22年秋期 午前問56
EUCの説明として，適切なものはどれか。,4,エディタ，コンパイラ，デバッガなどプログラミングに必要なツールが一つに統合され，一つのインタフェースで扱えるようになっている開発環境である。,簡易なGUI構築，ウィザードによるプログラムスケルトンの作成，ASP(ActiveServerPages)の利用などによって，Web 環境で稼動するシステムを開発することである。,簡易なGUI構築ツールを使って，システム開発の初期の段階で画面を作成し，機能や操作性などを確認しながら，開発を行う手法である。,利用者自身が，表計算ソフトや簡易データベースなどを活用し，業務を遂行することである。,平成22年秋期 午前問55
リスク識別に使用する技法の一つであるデルファイ法の説明はどれか。,4,確率分布を使用したシミュレーションを行う。,過去の情報や知識を基にして，あらかじめ想定されるリスクをチェックリストにまとめておき，チェックリストと照らし合わせることでリスクを識別する。,何人かが集まって，他人のアイディアを批判することなく，自由に多くのアイディアを出し合う。,複数の専門家から得られた匿名の見解を要約して，再配布することを何度か繰り返して収束される。,平成22年秋期 午前問54
組込みシステムの特許におけるライセンスに関する記述として，適切なものはどれか。,1,新開発した組込み製品のハードウェア部分だけが，他社の特許に抵触している場合，その部分のライセンスを得ないと権利侵害になる。,他社の特許がハードウェアとソフトウェアとの両方を権利範囲に含む場合，ハードウェア部分のライセンスを得れば，ソフトウェア部分は模倣して製品化できる。,ハードウェア部分の特許とソフトウェア部分の特許をそれぞれ異なる会社が保有している場合，ライセンスを得て製品化することはできない。,ハードウェア部分の特許のライセンスを得て，ソフトウェア部分だけは社内で独自に新規開発した場合，このソフトウェアを特許出願することはできない。,平成22年秋期 午前問50
JavaScriptの非同期通信の機能を使うことによって，動的なユーザインタフェースを画面遷移を伴わずに実現する技術はどれか。,1,Ajax,CSS,RSS,SNS,平成22年秋期 午前問49
