独占禁止法の目的として，適切なものはどれか。,1,公正かつ自由な競争を促進する。,国際的な平和及び安全の維持を阻害する取引を防止する。,製造物の欠陥によって損害が生じたときの製造業者の責任を定める。,特許権者に発明を実施する権利を与え，発明を保護する。,平成27年秋期 午前問80
サイバーセキュリティ基本法の説明はどれか。,1,国民に対し，サイバーセキュリティの重要性につき関心と理解を深め，その確保に必要な注意を払うよう努めることを求める規定がある。,サイバーセキュリティに関する国及び情報通信事業者の責務を定めたものであり，地方公共団体や教育研究機関についての言及はない。,サイバーセキュリティに関する国及び地方公共団体の責務を定めたものであり，民間事業者が努力すべき事項についての規定はない。,地方公共団体を"重要社会基盤事業者"と位置づけ，サイバーセキュリティ関連施策の立案・実施に責任を負うと規定している。,平成27年秋期 午前問79
平成27年4月に30万円で購入したPCを3年後に1万円で売却するとき，固定資産売却損は何万円か。ここで，耐用年数は4年，減価償却は定額法，定額法の償却率は0.250，残存価額は0円とする。,2,6.0,6.5,7.0,7.5,平成27年秋期 午前問77
キャッシュフローを改善する行為はどれか。,2,受取手形の期日を長くして受け取る。,売掛金を回収するまでの期間を短くする。,買掛金を支払うまでの期間を短くする。,支払手形の期日を短くして支払う。,平成27年秋期 午前問76
CIOが経営から求められる役割はどれか。,4,企業経営のための財務戦略の立案と遂行,企業の研究開発方針の立案と実施,企業の法令遵守の体制の構築と運用,ビジネス価値を最大化させるITサービス活用の促進,平成27年秋期 午前問75
通信機能及び他の機器の管理機能をもつ高機能型の電力メータであるスマートメータを導入する目的として，適切でないものはどれか。,2,自動検針によって，検針作業の効率を向上させる。,停電時に補助電源によって，一定時間電力を供給し続ける。,電力需要制御によって，ピーク電力を抑制する。,電力消費量の可視化によって，節電の意識を高める。,平成27年秋期 午前問74
ソーシャルメディアをビジネスにおいて活用している事例はどれか。,2,営業部門が発行部数の多い雑誌に商品記事を頻繁に掲載し，商品の認知度の向上を目指す。,企業が自社製品の使用状況などの意見を共有する場をインターネット上に設けて，製品の改善につなげる。,企業が市場の変化に合わせた経営戦略をビジネス専門誌に掲載し，企業の信頼度向上を目指す。,企業の研究者が，国内では販売されていない最新の専門誌をネット通販で入手して，研究開発の推進につなげる。,平成27年秋期 午前問73
ICタグ(RFID)の特徴はどれか。,4,GPSを利用し，現在地の位置情報や属性情報を表示する。,専用の磁気読取り装置に挿入して使用する。,大量の情報を扱うので，情報の記憶には外部記憶装置を使用する。,汚れに強く，記録された情報を梱包の外から読むことができる。,平成27年秋期 午前問72
セル生産方式の利点が生かせる対象はどれか。,3,生産性を上げるために，大量生産が必要なもの,製品の仕様が長期間変わらないもの,多種類かつフレキシブルな生産が求められるもの,標準化，単純化，専門化による分業が必要なもの,平成27年秋期 午前問71
プロダクトライフサイクルにおける成長期の特徴はどれか。,1,市場が商品の価値を理解し始める。商品ラインもチャネルも拡大しなければならない。この時期は売上も伸びるが，投資も必要である。,需要が大きくなり，製品の差別化や市場の細分化が明確になってくる。競争者間の競争も激化し，新品種の追加やコストダウンが重要となる。,需要が減ってきて，撤退する企業も出てくる。この時期の強者になれるかどうかを判断し，代替市場への進出なども考える。,需要は部分的で，新規需要開拓が勝負である。特定ターゲットに対する信念に満ちた説得が必要である。,平成27年秋期 午前問69
経営戦略策定に用いられるSWOT分析はどれか。,1,競争環境における機会・脅威と事業の強み・弱みを分析する。,競争に影響する要因と，他者の動き，自社の動きを分析する。,市場に対するマーケティングツールの最適な組合せを分析する。,市場の成長性と占有率の観点から各事業の位置付けを分析する。,平成27年秋期 午前問68
コトラーの競争戦略によると，業界でのシェアは高くないが，特定の製品・サービスに経営資源を集中することによって，収益を高め，独自の地位を獲得することを戦略目標とする企業はどれか。,2,マーケットチャレンジャ,マーケットニッチャ,マーケットフォロワ,マーケットリーダ,平成27年秋期 午前問67
企業が保有する顧客や市場などの膨大なデータから，有用な情報や関係を見つけ出す手法はどれか。,4,データウェアハウス,データディクショナリ,データフローダイアグラム,データマニング,平成27年秋期 午前問64
SOAの説明はどれか。,4,売上・利益の増加や，顧客満足度の向上のために，営業活動にITを活用して営業の効率と品質を高める概念のこと,経営資源をコアビジネスに集中させるために，社内業務のうちコアビジネス以外の業務を外部に委託すること,コスト，品質，サービス，スピードを革新的に改善させるために，ビジネスプロセスを抜本的にデザインし直す概念のこと,ソフトウェアの機能をサービスという部品とみなし，そのサービスを組み合わせることでシステムを構築する概念のこと,平成27年秋期 午前問63
システム企画段階において業務プロセスを抜本的に再設計する際の留意点はどれか。,1,新たな視点から高い目標を設定し，将来的に必要となる最上位の業務機能と業務組織のモデルを検討する。,業務改善を積み重ねるために，ビジネスモデルの将来像にはこだわらず，現場レベルのニーズや課題への対応を重視して業務プロセスを再設計する。,経営者や管理者による意思決定などの非定型業務ではなく，購買，製造，販売，出荷，サービスといった定型業務を対象とする。,現行業務に関する組織，技術などについての情報を収集し，現行の組織や業務手続に基づいて業務プロセスを再設計する。,平成27年秋期 午前問62
エンタープライズアーキテクチャを構成するアプリケーションアーキテクチャについて説明したものはどれか。,2,業務に必要なデータの内容，データ間の関連や構造などを体系的に示したもの,業務プロセスを支援するシステムの機能や構成などを体系的に示したもの,情報システムの構築・運用に必要な技術的構成要素を体系的に示したもの,ビジネス戦略に必要な業務プロセスや情報の流れを体系的に示したもの,平成27年秋期 午前問61
スプレッドシートの処理ロジックの正確性に関わるコントロールを監査する際のチェックポイントはどれか。,3,スプレッドシートの作成者と利用者が同一であること,スプレッドシートのバックアップが行われていること,スプレッドシートのプログラムの内容が文書化され検証されていること,スプレッドシートの利用者が定められていること,平成27年秋期 午前問60
ソースコードのバージョン管理システムが導入された場合に，システム監査において，ソースコードの機密性のチェックポイントとして追加することが適切なものはどれか。,2,バージョン管理システムに登録したソースコードの変更結果を責任者が承認していること,バージョン管理システムのアクセスコントロールの設定が適切であること,バージョン管理システムの導入コストが適正な水準にあること,バージョン管理システムを開発部門が選定していること,平成27年秋期 午前問59
システム監査の実施体制に関する記述のうち，適切なものはどれか。,1,監査依頼者が監査報告に基づく改善指示を行えるように，システム監査人は監査結果を監査依頼者に報告する。,業務監査の一部として情報システムの監査を行う場合には，利用部門のメンバによる監査チームを編成して行う。,システム監査人が他の専門家の支援を受ける場合には，支援の範囲，方法，監査結果の判断などは，ほかの専門家の責任において行う。,情報システム部門における開発の状況の監査を行う場合には，開発内容を熟知した情報システム部門のメンバによる監査チームを編成して行う。,平成27年秋期 午前問58
業務部門が起票した入力原票を，情報システム部門でデータ入力する場合，情報システム部門の業務として，適切なものはどれか。,1,業務部門が入力原票ごとの処理結果を確認できるように，処理結果リストを業務部門に送付している。,入力原票の記入内容に誤りがある場合は，誤りの内容が明らかなときに限り，入力担当者だけの判断で入力原票を修正し，入力処理している。,入力原票は処理期日まで情報システム部門で保管し，受領枚数の点検などの授受確認は，処理期日直前に一括して行うことにしている。,入力済みの入力原票は，不正使用や機密情報の漏えいなどを防止するために，入力後直ちに廃棄することにしている。,平成27年秋期 午前問57
情報システムの安全性や信頼性を向上させる考え方のうち，フェールセーフはどれか。,3,システムが部分的に故障しても，システム全体としては必要な機能を維持する。,システム障害が発生したとき，待機しているシステムに切り替えて処理を続行する。,システムを構成している機器が故障したときは，システムが安全に停止するようにして，被害を最小限に抑える。,利用者が誤った操作をしても，システムに異常が起こらないようにする。,平成27年秋期 午前問56
サービスデスク組織の構造とその特徴のうち，ローカルサービスデスクのものはどれか。,2,サービスデスクを1拠点又は少数の場所に集中することによって，サービス要員を効率的に配置したり，大量のコールに対応したりすることができる。,サービスデスクを利用者の近くに配置することによって，言語や文化の異なる利用者への対応，専用要員によるVIP対応などができる。,サービス要員は複数の地域や部門に分散しているが，通信技術を利用することによって，単一のサービスデスクであるかのようなサービスが提供できる。,分散拠点のサービス要員を含めた全員を中央で統括して管理することによって，統制の取れたサービスが提供できる。,平成27年秋期 午前問55
プロジェクトのリスクに対応する戦略として，損害発生時のリスクに備え，損害賠償保険に加入することにした。PMBOKによれば，該当する戦略はどれか。,4,回避,軽減,受容,転嫁,平成27年秋期 午前問54
10人が0.5kステップ／人日の生産性で作業するとき，30日間を要するプログラミング作業がある。10日目が終了した時点で作業が終了したステップ数は，10人の合計で30kステップであった。予定の30日間でプログラミングを完了するためには，少なくとも何名の要員を追加すればよいか。ここで，追加する要員の生産性は，現在の要員と同じとする。,3,2,7,10,20,平成27年秋期 午前問53
共通フレームのプロセスのうち，成果物が利用者の視点から意図された正しいものになっているかどうかを確認するプロセスはどれか。,4,監査プロセス,検証プロセス,使用性向上プロセス,妥当性確認プロセス,平成27年秋期 午前問50
ソースコードやオブジェクトコードを解析して，プログラムの仕様と設計の情報を取り出す手法はどれか。,3,リエンジニアリング,リストラクチャリング,リバースエンジニアリング,リファクタリング,平成27年秋期 午前問49
ボトムアップテストの特徴として，適切なものはどれか。,4,開発の初期の段階では，並行作業が困難である。,スタブが必要である。,テスト済みの上位モジュールが必要である。,ドライバが必要である。,平成27年秋期 午前問48
レビュー技法の一つであるインスペクションにおけるモデレータの役割はどれか。,4,レビューで提起された欠陥，課題，コメントを記録する。,レビューで発見された欠陥を修正する。,レビューの対象となる資料を，他のレビュー参加者に説明する。,レビューを主導し，参加者にそれぞれの役割を果たさせるようにする。,平成27年秋期 午前問46
2要素認証に該当するものはどれか。,2,2本の指の指紋で認証する。,虹彩とパスワードで認証する。,異なる2種類の特殊文字を混ぜたパスワードで認証する。,異なる2つのパスワードで認証する。,平成27年秋期 午前問45
ワームの検知方式の一つとして，検査対象のファイルからSHA-256を使ってハッシュ値を求め，既知のワーム検体ファイルのハッシュ値のデータベースと照合することによって，検知できるものはどれか。,1,ワーム検体と同一のワーム,ワーム検体と特徴あるコード列が同じワーム,ワーム検体とファイルサイズが同じワーム,ワーム検体の亜種に当たるワーム,平成27年秋期 午前問43
SQLインジェクション攻撃を防ぐ方法はどれか。,1,入力中の文字がデータベースへの問合せや操作において，特別な意味をもつ文字として解釈されないようにする。,入力にHTMLタグが含まれていたら，HTMLタグとして解釈されない他の文字列に置き換える。,入力に，上位ディレクトリを指定する文字(../)を含むときは受け付けない。,入力の全体の長さが制限を超えているときは受け付けない。,平成27年秋期 午前問42
ネットワーク障害の原因を調べるために，ミラーポートを用意して，LANアナライザを使用するときに留意することはどれか。,2,LANアナライザがパケットを破棄してしまうので，測定中は測定対象外のコンピュータの利用を制限しておく必要がある。,LANアナライザにはネットワークを通過するパケットを表示できるので，盗聴などに悪用されないように注意する必要がある。,障害発生に備えて，ネットワーク利用者にLANアナライザの保管場所と使用方法を周知しておく必要がある。,測定に当たって，LANケーブルを一時的に切断する必要があるので，利用者に対して測定日を事前に知らせておく必要がある。,平成27年秋期 午前問41
ISMS適合性評価制度の説明はどれか。,3,ISO/IEC 15408に基づき，IT関連製品のセキュリティ機能の適切性・確実性を評価する。,JIS Q 15001に基づき，個人情報について適切な保護措置を講じる体制を整備している事業者などを認定する。,JIS Q 27001に基づき，組織が構築した情報セキュリティマネジメントシステムの適合性を評価する。,電子政府推奨暗号リストに基づき，暗号モジュールが適切に保護されていることを認証する。,平成27年秋期 午前問40
標的型攻撃メールで利用されるソーシャルエンジニアリング手法に該当するものはどれか。,2,件名に"未承諾広告※"と記述する。,件名や本文に，受信者の業務に関係がありそうな内容を記述する。,支払う必要がない料金を振り込ませるために，債権回収会社などを装い無差別に送信する。,偽のホームページにアクセスさせるために，金融機関などを装い無差別に送信する。,平成27年秋期 午前問39
Xさんは，Yさんにインターネットを使って電子メールを送ろうとしている。電子メールの内容を秘密にする必要があるので，公開鍵暗号方式を用いて暗号化して送信したい。電子メールの内容を暗号化するのに使用する鍵はどれか。,3,Xさんの公開鍵,Xさんの秘密鍵,Yさんの公開鍵,Yさんの秘密鍵,平成27年秋期 午前問38
暗号解読の手法のうち，ブルートフォース攻撃はどれか。,1,与えられた1組の平文と暗号文に対し，総当たりで鍵を割り出す。,暗号化関数の統計的な偏りを線形関数によって近似して解読する。,暗号化装置の動作を電磁波から解析することによって解読する。,異なる二つの平文とそれぞれの暗号文の差分を観測して鍵を割り出す。,平成27年秋期 午前問37
手順に示す処理を実施することによって，メッセージの改ざんの検知の他に，受信者Bができることはどれか。     〔手順〕     送信者Aの処理     (1):メッセージから，ハッシュ関数を使ってダイジェストを生成する。     (2):秘密に保持していた自分の署名生成鍵を用いて，(1)で生成したダイジェストからメッセージの署名を生成する。     (3):メッセージと，(2)で生成したデータを受信者Bに送信する。     受信者Bの処理     (4):受信したメッセージから，ハッシュ関数を使ってダイジェストを生成する。     (5):(4)で生成したダイジェスト及び送信者Aの署名検証鍵を用いて，受信した署名を検証する。,1,メッセージが送信者Aからのものであることの確認,メッセージの改ざん部位の特定,メッセージの盗聴の検知,メッセージの漏えいの防止,平成27年秋期 午前問36
TCP/IPネットワークにおいて，TCPコネクションを識別するために必要な情報の組合せはどれか。,2,IPアドレス，セッションID,IPアドレス，ポート番号,MACアドレス，セッションID,ポート番号，セッションID,平成27年秋期 午前問35
IPv4アドレスに関する記述のうち，適切なものはどれか。,2,192.168.0.0～192.168.255.255 は，クラスCアドレスなのでJPNICへの届出が必要である。,192.168.0.0/24 のネットワークアドレスは，192.168.0.0 である。,192.168.0.0/24 のブロードキャストアドレスは，192.168.0.0 である。,192.168.0.1 は，プログラムなどで自分自身と通信する場合に利用されるループバックアドレスである。,平成27年秋期 午前問34
