コンピュータウイルスを用いて，企業で使用されているコンピュータの記憶内容を消去する行為を処罰の対象とする法律はどれか。,1,刑法,製造物責任法,不正アクセス禁止法,プロバイダ責任制限法,平成28年秋期 午前問80
プログラム開発において，法人の発意に基づく法人名義の著作物について，著作権法で規定されているものはどれか。,1,就業規則などに特段の取決めがない限り，権利は法人に帰属する。,担当した従業員に権利は帰属するが，法人に譲渡することができる。,担当した従業員に権利は帰属するが，法人はそのプログラムを使用できる。,法人が権利を取得する場合は，担当した従業員に相当の対価を支払う必要がある。,平成28年秋期 午前問79
マトリックス組織を説明したものはどれか,2,業務遂行に必要な機能と利益責任を，製品別，顧客別又は地域別にもつことによって，自己完結的な経営活動が展開できる組織である。,構成員が，自己の専門とする職能部門と特定の事業を遂行する部門の両方に所属する組織である。,購買・生産・販売・財務など，仕事の専門性によって機能分化された部門をもつ組織である。,特定の課題の下に各部門から専門家を集めて編成し，期間と目標を定めて活動する一時的かつ柔軟な組織である。,平成28年秋期 午前問76
CIOの果たすべき役割はどれか。,3,各部門の代表として，自部門のシステム化案を情報システム部門に提示する。,情報技術に関する調査，利用研究，関連部門への教育などを実施する。,全社的観点から情報化戦略を立案し，経営戦略との整合性の確認や評価を行う。,豊富な業務経験，情報技術の知識，リーダシップをもち，プロジェクトの運営を管理する。,平成28年秋期 午前問75
EDIを実施するための情報表現規約で規定されるべきものはどれか。,4,企業間の取引の契約内容,システムの運用時間,伝送制御手順,メッセージの形式,平成28年秋期 午前問74
CGM(Consumer Generated Media)の例はどれか。,4,企業が，経営状況や財務状況，業績動向に関する情報を，個人投資家向けに公開する自社のWebサイト,企業が，自社の商品の特徴や使用方法に関する情報を，一般消費者向けに発信する自社のWebサイト,行政機関が，政策，行政サービスに関する情報を，一般市民向けに公開する自組織のWebサイト,個人が，自らが使用した商品などの評価に関する情報を，不特定多数に向けて発信するブログやSNSなどのWebサイト,平成28年秋期 午前問73
"技術のSカーブ"の説明として，適切なものはどれか。,2,新しい技術の普及過程を示すものであり，その技術を応用した製品が市場に浸透すると，普及率の伸びが徐々に減少していくことを度数分布曲線で示す。,技術の進歩の過程を示すものであり，当初は緩やかに進歩するが，やがて急激に進歩し，その後，緩やかに停滞していく過程を示す。,技術の成熟過程を示すものであり，新技術が実際に普及するまでの間，時間経過とともに変化する認知度の推移を示す。,生産量と単位コストの関係を示すものであり，累積生産量が増加するに従い，単位コストが減少する過程を示す。,平成28年秋期 午前問70
CRMの目的はどれか。,1,顧客ロイヤリティの獲得と顧客生涯価値の最大化,在庫不足による販売機会損失の削減,製造に必要な資材の発注量と発注時期の決定,販売時点での商品ごとの販売情報の把握,平成28年秋期 午前問69
コストプラス法による価格設定方法を表すものはどれか。,4,価格分析によって，利益最大，リスク最小を考慮し，段階的に価格を決める。,顧客に対する値引きを前提にし，当初からマージンを加えて価格を決める。,市場で競争可能と推定できるレベルで価格を決める。,製造原価，営業費を基準にし，希望マージンを織り込んで価格を決める。,平成28年秋期 午前問67
RFIに回答した各ベンダに対してRFPを提示した。今後のベンダ選定に当たって，公正に手続を進めるためにあらかじめ実施しておくことはどれか。,3,RFIの回答内容の評価が高いベンダに対して，選定から外れたときに備えて，再提案できる救済措置を講じておく。,現行のシステムを熟知したベンダに対して，RFPの要求事項とは別に，そのベンダを選定しやすいように評価を高くしておく。,提案の評価基準や要求事項の適合度への重み付けをするルールを設けるなど，選定の手順を確立しておく。,ベンダ選定後，迅速に契約締結をするために，RFPを提示した全ベンダに内示書を発行して，契約書や作業範囲記述書の作成を依頼しておく。,平成28年秋期 午前問66
