個人情報に関する記述のうち，個人情報保護法に照らして適切なものはどれか。,1,構成する文字列やドメイン名によって特定の個人を識別できるメールアドレスは，個人情報である。,個人に対する業績評価は，その個人を識別できる情報が含まれていても，個人情報ではない。,新聞やインターネットなどで既に公表されている個人の氏名，性別及び生年月日は，個人情報ではない。,法人の本店住所，支店名，支店住所，従業員数及び代表電話番号は，個人情報である。,平成25年秋期 午前問80
A社はB社に対して業務システムの開発を委託し，A社とB社は請負契約を結んでいる。作業の実態から，偽装請負とされる事象はどれか。,3,A社の従業員が，B社を作業場所として，A社の責任者の指揮命令に従ってシステムの検証を行っている。,A社の従業員が，B社を作業場所として，B社の責任者の指揮命令に従ってシステムの検証を行っている。,B社の従業員が，A社を作業場所として，A社の責任者の指揮命令に従って設計書を作成している。,B社の従業員が，A社を作業場所として，B社の責任者の指揮命令に従って設計書を作成している。,平成25年秋期 午前問79
A社は，B社と著作物の権利に関する特段の取決めをせず，A社の要求仕様に基づいて，販売管理システムのプログラム作成をB社に依頼した。この場合のプログラム著作権の原始的帰属はどれか。,4,A社とB社が話し合って決定する。,A社とB社の共有となる。,A社に帰属する。,B社に帰属する。,平成25年秋期 午前問78
経営層のアカウンタビリティを説明したものはどれか。,1,株主やその他の利害関係者に対して，経営活動の内容・実績に関する説明責任を負う。,企業が環境保全に掛けた費用とその効果を定量化して，財務情報として定期的に公表する。,企業倫理に基づいたルール，マニュアル，チェックシステムなどを整備し，法令などを遵守する経営を行う。,投資家やアナリストに対して，投資判断に必要とされる正確な情報を，適時にかつ継続して提供する。,平成25年秋期 午前問74
ICタグ(RFID)の特徴はどれか。,4,GPSを利用し，受信地の位置情報や属性情報を表示する。,専用の磁気読取り装置に挿入して使用する。,大量の情報を扱うので，情報の記憶には外部記憶装置を使用する。,汚れに強く，記録された情報を梱(こん)包の外から読むことができる。,平成25年秋期 午前問73
EDIを説明したものはどれか。,3,OSI基本参照モデルに基づく電子メールサービスの国際規格であり，メッセージの生成・転送・処理に関する総合的なサービスである。,ネットワーク内で伝送されるデータを蓄積したり，データのフォーマットを変換したりするサービスなど，付加価値を加えた通信サービスである。,ネットワークを介して，商取引のためのデータをコンピュータ(端末を含む)間で標準的な規約に基づいて交換することである。,発注情報をデータエントリ端末から入力することによって，本部又は仕入先に送信し，発注を行うシステムである。,平成25年秋期 午前問72
ディジタルディバイドを説明したものはどれか。,1,PCや通信などを利用する能力や機会の違いによって，経済的又は社会的な格差が生じること,インターネットなどを活用することによって，住民が直接，政府や自治体の政策に参画できること,国民のだれもが，地域の格差なく，妥当な料金で平等に利用できる通信及び放送サービスのこと,市民生活のイベント又は企業活動の分野ごとに，すべてのサービスを1か所で提供すること,平成25年秋期 午前問71
プロダクトライフサイクルにおける成熟期の特徴はどれか。,2,市場が商品の価値を理解し始める。商品ラインもチャネルも拡大しなければならない。この時期は売上も伸びるが，投資も必要である。,需要が大きくなり，製品の差別化や市場の細分化が明確になってくる。競争者間の競争も激化し，新品種の追加やコストダウンが重要となる。,需要が減ってきて，撤退する企業も出てくる。この時期の強者になれるかどうかを判断し，代替市場への進出なども考える。,需要は部分的で，新規需要開拓が勝負である。特定ターゲットに対する信念に満ちた説得が必要である。,平成25年秋期 午前問70
コアコンピタンスの説明はどれか。,1,企業の活動分野において，競合他社にはまねのできない卓越した能力,経営を行う上で法令や各種規制，社会的規範などを遵守する企業活動,市場・技術・商品(サービス)の観点から設定した，事業の展開領域,組織活動の目的を達成するために行う，業務とシステムの全体最適化手法,平成25年秋期 午前問68
SWOT分析を説明したものはどれか。,2,企業の財務諸表を基に，収益性及び安全性を分析する手法である。,経営戦略を立てるために，自社の強みと弱み，機会と脅威を分析する手法である。,自社製品・サービスの市場での位置付けや評価を明らかにする手法である。,自社製品の価格設定のために，市場での競争力を分析する手法である。,平成25年秋期 午前問67
国や地方公共団体などが，環境への配慮を積極的に行っていると評価されている製品・サービスを選ぶことを何というか。,4,CSR,エコマーク認定,環境アセスメント,グリーン購入,平成25年秋期 午前問66
非機能要件定義を説明したものはどれか。,2,業務要件のうち，システムで実現が難しく，手作業となる業務機能を明確化する。,業務要件の実現に必要な，品質要件，技術要件，運用要件などを明確化する。,業務要件を確定させるために，現行システムで不足している機能を明確化する。,業務要件を実現するために，新たに導入するパッケージの適合性を明確化する。,平成25年秋期 午前問65
利用者が，インターネットを経由してサービスプロバイダ側のシステムに接続し，サービスプロバイダが提供するアプリケーションの必要な機能だけを必要なときにオンラインで利用するものはどれか。,2,ERP,SaaS,SCM,XBRL,平成25年秋期 午前問64
情報戦略における全体最適化計画策定の段階で，業務モデルを定義する目的はどれか。,1,企業の全体業務と使用される情報の関連を整理し，情報システムのあるべき姿を明確化すること,システム化の範囲や開発規模を把握し，システム化に要する期間，開発工数，開発費用を見積もること,情報システムの構築のために必要なハードウェア，ソフトウェア，ネットワークなどの構成要素を洗い出すこと,情報システムを実際に運用するために必要なユーザマニュアルや運用マニュアルを作成するために，業務手順を確認すること,平成25年秋期 午前問63
エンタープライズアーキテクチャの"四つの分類体系"に含まれるアーキテクチャは，ビジネスアーキテクチャ，テクノロジアーキテクチャ，アプリケーションアーキテクチャともう一つはどれか。,3,システムアーキテクチャ,ソフトウェアアーキテクチャ,データアーキテクチャ,バスアーキテクチャ,平成25年秋期 午前問62
IT投資評価を，個別プロジェクトの計画，実施，完了に応じて，事前評価，中間評価，事後評価として実施する。事前評価について説明したものはどれか。,4,事前に設定した効果目標の達成状況を評価し，必要に応じて目標を達成するための改善策を検討する。,実施計画と実績との差異及び原因を詳細に分析し，投資額や効果目標の変更が必要かどうかを判断する。,投資効果の実現時期と評価に必要なデータ収集方法を事前に計画し，その時期に合わせて評価を行う。,投資目的に基づいた効果目標を設定し，実施可否判断に必要な情報を上位マネジメントに提供する。,平成25年秋期 午前問61
